año,sentimiento_medio_anual
2018,0.07694029153093851
2019,0.07457409933526249
2020,0.08739370564045243
2021,0.08602758529835222
2022,0.09801838672454112
2023,0.09711982900660028
2024,0.0917354810635085
2025,0.0840239615973688
