año,sentimiento_medio_anual,pib
2018,0.0769402915309385,20193.89525
2019,0.0745740993352624,20715.6715
2020,0.0873937056404524,20267.58475
2021,0.0860275852983522,21494.79825
2022,0.0980183867245411,22034.82875
2023,0.0971198290066002,22671.0965
2024,0.0917354810635085,23305.0235
2025,0.0840239615973688,23526.085
