trimestre,sentimiento_medio_trimestral
2018-01-01,0.0704794245283748
2018-04-01,0.07560980749500676
2018-07-01,0.07514638357749981
2018-10-01,0.0865255505228727
2019-01-01,0.0680681235854816
2019-04-01,0.0770837851712753
2019-07-01,0.08228863812388465
2019-10-01,0.0708558504604084
2020-01-01,0.06430261998503335
2020-04-01,0.09220442327511019
2020-07-01,0.10207708751702944
2020-10-01,0.0909906917846367
2021-01-01,0.0858254316481426
2021-04-01,0.08220901142399081
2021-07-01,0.08749769813681241
2021-10-01,0.0885781999844631
2022-01-01,0.09566247050228595
2022-04-01,0.1030171510584605
2022-07-01,0.09645351973106209
2022-10-01,0.09694040560635594
2023-01-01,0.09043327403986401
2023-04-01,0.09046998195534545
2023-07-01,0.10743460089808171
2023-10-01,0.10014145913310996
2024-01-01,0.09440833276375045
2024-04-01,0.09409788846083056
2024-07-01,0.0877359654240722
2024-10-01,0.0906997376053808
2025-01-01,0.0840239615973688
